id,key,value,type
357739819,name,Saint Ann Elementary School,regular
357739819,amenity,school,regular
357739819,edited,01/22/2008,gnis
357739819,created,07/01/1981,gnis
357739819,state_id,34,gnis
357739819,county_id,025,gnis
357739819,feature_id,2045397,gnis
357742416,ele,2,regular
357742416,name,Memorial Elementary School,regular
357742416,amenity,school,regular
357742416,created,07/01/1981,gnis
357742416,state_id,34,gnis
357742416,county_id,003,gnis
357742416,feature_id,2054117,gnis
357742558,ele,70,regular
357742558,name,Emil A Cavallini Middle School,regular
357742558,amenity,school,regular
357742558,created,07/01/1981,gnis
357742558,state_id,34,gnis
357742558,county_id,003,gnis
357742558,feature_id,2054184,gnis
357743164,ele,37,regular
357743164,name,Hasbrouck Heights Post Office,regular
357743164,amenity,post_office,regular
357743164,created,07/01/1981,gnis
357743164,state_id,34,gnis
357743164,county_id,003,gnis
357743164,feature_id,2054729,gnis
357743780,ele,13,regular
357743780,name,Linden High School,regular
357743780,amenity,school,regular
357743780,en,linden high school,name
357743780,es,escuela secundaria linden,name
357743780,street,W. Saint Georges Avenue,addr
357743780,created,07/01/1981,gnis
357743780,postcode,NJ 07036,addr
357743780,state_id,34,gnis
357743780,county_id,039,gnis
357743780,feature_id,2055416,gnis
357743780,housenumber,121,addr
357745045,ele,60,regular
357745045,name,First Unitarian Universalist Church,regular
357745045,amenity,place_of_worship,regular
357745045,religion,unitarian_universalist,regular
357745045,created,07/01/1981,gnis
357745045,state_id,34,gnis
357745045,county_id,013,gnis
357745045,feature_id,2057720,gnis
357745275,ele,24,regular
357745275,name,Knox Presbyterian Church,regular
357745275,amenity,place_of_worship,regular
357745275,religion,christian,regular
357745275,created,07/01/1981,gnis
357745275,state_id,34,gnis
357745275,county_id,017,gnis
357745275,feature_id,2058588,gnis
357745339,ele,15,regular
357745339,name,Calvary Episcopal Church,regular
357745339,amenity,place_of_worship,regular
357745339,religion,christian,regular
357745339,created,07/01/1981,gnis
357745339,state_id,34,gnis
357745339,county_id,017,gnis
357745339,feature_id,2058616,gnis
357745911,ele,18,regular
357745911,name,Green Brook Middle School,regular
357745911,amenity,school,regular
357745911,edited,01/22/2008,gnis
357745911,created,07/01/1981,gnis
357745911,state_id,34,gnis
357745911,county_id,035,gnis
357745911,feature_id,2059507,gnis
359287250,ele,10,regular
359287250,name,Stamford Post Office,regular
359287250,amenity,post_office,regular
359287250,created,10/24/2001,gnis
359287250,state_id,09,gnis
359287250,county_id,001,gnis
359287250,feature_id,1942993,gnis
367683164,ele,12,regular
367683164,name,Bayonne Hazardous Materials Company 1,regular
367683164,source,USGS Geonames,regular
367683164,amenity,fire_station,regular
367683164,state,NJ,addr
367683164,reviewed,no,gnis
367683164,feature_id,2061668,gnis
367683164,county_name,Hudson,gnis
367683164,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
367692940,ele,55,regular
367692940,name,West New York Public Library,regular
367692940,source,USGS Geonames,regular
367692940,amenity,library,regular
367692940,state,NJ,addr
367692940,reviewed,no,gnis
367692940,feature_id,2059159,gnis
367692940,county_name,Hudson,gnis
367692940,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368044055,ele,36,regular
368044055,name,Jefferson Towers,regular
368044055,source,USGS Geonames,regular
368044055,state,NY,addr
368044055,reviewed,no,gnis
368044055,feature_id,2083486,gnis
368044055,county_name,New York,gnis
368044055,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368046329,ele,8,regular
368046329,name,New York Engine Company 81,regular
368046329,source,USGS Geonames,regular
368046329,amenity,fire_station,regular
368046329,state,NY,addr
368046329,reviewed,no,gnis
368046329,feature_id,2073172,gnis
368046329,county_name,Bronx,gnis
368046329,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368046694,ele,23,regular
368046694,name,New York Ladder Company 85,regular
368046694,source,USGS Geonames,regular
368046694,amenity,fire_station,regular
368046694,state,NY,addr
368046694,reviewed,no,gnis
368046694,feature_id,2079245,gnis
368046694,county_name,Richmond,gnis
368046694,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368047078,ele,16,regular
368047078,name,New York Engine Company 222,regular
368047078,source,USGS Geonames,regular
368047078,amenity,fire_station,regular
368047078,state,NY,addr
368047078,reviewed,no,gnis
368047078,feature_id,2081125,gnis
368047078,county_name,Kings,gnis
368047078,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368047840,ele,16,regular
368047840,name,New York Ladder Company 104,regular
368047840,source,USGS Geonames,regular
368047840,amenity,fire_station,regular
368047840,state,NY,addr
368047840,reviewed,no,gnis
368047840,feature_id,2081185,gnis
368047840,county_name,Kings,gnis
368047840,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368052727,ele,7,regular
368052727,name,Plaza Building,regular
368052727,source,USGS Geonames,regular
368052727,building,yes,regular
368052727,state,NY,addr
368052727,reviewed,no,gnis
368052727,feature_id,2042652,gnis
368052727,county_name,New York,gnis
368052727,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368054182,ele,35,regular
368054182,name,Main Hall,regular
368054182,source,USGS Geonames,regular
368054182,building,yes,regular
368054182,state,NY,addr
368054182,reviewed,no,gnis
368054182,feature_id,2061873,gnis
368054182,county_name,Westchester,gnis
368054182,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368055086,ele,11,regular
368055086,name,Fulton Hall,regular
368055086,source,USGS Geonames,regular
368055086,building,yes,regular
368055086,state,NY,addr
368055086,reviewed,no,gnis
368055086,feature_id,2074997,gnis
368055086,county_name,Nassau,gnis
368055086,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
368059957,ele,13,regular
368059957,name,Cypress Hills Senior Citizen Center,regular
368059957,source,USGS Geonames,regular
368059957,building,yes,regular
368059957,state,NY,addr
368059957,reviewed,no,gnis
368059957,feature_id,2502987,gnis
368059957,county_name,Kings,gnis
368059957,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
373882872,highway,crossing,regular
380046860,name,Dorje Ling Buddhist Center,regular
380046860,amenity,place_of_worship,regular
380046860,religion,buddhist,regular
380046860,city,Brooklyn,addr
380046860,state,NY,addr
380046860,street,Gold Street,addr
380046860,country,US,addr
380046860,housenumber,98,addr
417259760,source,Microsoft Bing orbital imagery,regular
419360704,amenity,bicycle_parking,regular
419360704,capacity,5,regular
419360704,cityracks.large,1,regular
419360704,cityracks.small,0,regular
419360704,cityracks.rackid,1343,regular
419360704,cityracks.street,W 27th St,regular
419360704,cityracks.housenum,547,regular
419361058,amenity,bicycle_parking,regular
419361058,capacity,5,regular
419361058,cityracks.large,1,regular
419361058,cityracks.small,0,regular
419361058,cityracks.rackid,4757,regular
419361058,cityracks.street,Cortelyou Road,regular
419361058,cityracks.housenum,1078,regular
419361210,amenity,bicycle_parking,regular
419361210,capacity,2,regular
419361210,cityracks.large,0,regular
419361210,cityracks.small,1,regular
419361210,cityracks.rackid,1870,regular
419361210,cityracks.street,E 4th St,regular
419361210,cityracks.housenum,64,regular
419361210,cityracks.installed,7/15/2001,regular
419361232,amenity,bicycle_parking,regular
419361232,capacity,5,regular
419361232,cityracks.large,1,regular
419361232,cityracks.small,0,regular
419361232,cityracks.rackid,332,regular
419361232,cityracks.street,South 4th Street,regular
